site,material,lab_no,c14_age,c14_error,reference
Broome_Tech_PAF,bean,AA31007,380,40,Miroff_Kudrle_2017
Broome_Tech_PAF_F58,maize,Beta-196043,640,40,Miroff_Kudrle_2017
Broome_Tech_PAF_F7,maize,AA31005,705,40,Miroff_Kudrle_2017
Broome_Tech_PAF_Midden,squash,AA31006,820,40,Miroff_Kudrle_2017
Broome_Tech_PAF_F46,maize,Beta-196050,840,40,Miroff_Kudrle_2017
Broome_Tech_PAF_F9,maize,Beta-196038,960,40,Miroff_Kudrle_2017
Broome_Tech_PAF_F15,maize,Beta-196039,990,40,Miroff_Kudrle_2017
Broome_Tech_PAF_F46b,maize,Beta-196046,1050,40,Miroff_Kudrle_2017
Otsiningo_Market_F1,maize,Beta-379672,670,30,Miroff_2014
Otsiningo_Market_F5,maize,Beta-378839,600,30,Miroff_2014
Otsiningo_Market_F10C,bean,Beta-378840,690,30,Miroff_2014
Chenango_Point_South_F90,maize,Beta-309041,270,30,Miroff_2012
Chenango_Point_South_F46,maize,Beta-309040,300,30,Miroff_2012
Chenango_Point_South_F176,maize,Beta-309042,300,30,Miroff_2012
Chenango_Point_South_F275,maize,Beta-309044,550,30,Miroff_2012
Chenango_Point_South_F180,maize,Beta-309043,600,30,Miroff_2012
Chenango_Point_F348,maize,Beta-265478,660,40,Knapp_2011
Chenango_Point_F401,maize,Beta-265479,700,40,Knapp_2011
Chenango_Point_F102,maize,Beta-265473,740,40,Knapp_2011
Chenango_Point_F105,maize,Beta-265474,740,40,Knapp_2011
Chenango_Point_F118,maize,Beta-265475,760,40,Knapp_2011
Chenango_Point_F119,maize,Beta-265476,860,40,Knapp_2011
Chenango_Point_F383,bean,Beta-265480,920,40,Knapp_2011
JW_Wadsworth2_F216,maize,Beta-562497,920,30,Zlotucha_Kozub_2021
JW_Wadsworth2_F213,maize,Beta-562496,920,30,Zlotucha_Kozub_2021
JW_Wadsworth2_F41,maize,Beta-562495,910,30,Zlotucha_Kozub_2021
JW_Wadsworth2_F232,maize,Beta-564629,840,30,Zlotucha_Kozub_2021
Wampsville_Cowaselon_F270,maize,557214,570,30,Kudrle_Horn_Miroff_2020
Wampsville_Cowaselon_F333,maize,557217,580,30,Kudrle_Horn_Miroff_2020
Lords_Wells_F35,maize,Beta-598161,920,30,Kudrle_Seib_Miroff_2021
Lords_Wells_F43,maize,Beta-598162,750,30,Kudrle_Seib_Miroff_2021
Lords_Wells_F52,maize,Beta-598163,870,30,Kudrle_Seib_Miroff_2021
Lords_Wells_F56,maize,Beta-598164,890,30,Kudrle_Seib_Miroff_2021
Chenango_Shores_East_F32,maize,641005,900,30,Kudrle_2023
Chenango_Shores_East_F49,maize,641008,890,30,Kudrle_2023
Chenango_Shores_East_F54,maize,641010,360,30,Kudrle_2023
Ayers1_F82,maize,66110,890,20,Ferri_2024
CCE_Site_F1,maize,Beta-388174,330,30,Kudrle_2015
CCE_Site_F2,maize,Beta-407871,390,30,Kudrle_2015
CCE_Site_F13,maize,Beta-407873,450,30,Kudrle_2015
CCE_Site_F22,maize,Beta-407874,370,30,Kudrle_2015
Deposit_Airport1_F6,maize,Beta-168303,930,60,Knapp_Versaggi_2002
Deposit_Airport1_F34,maize,Beta-168307,920,40,Knapp_Versaggi_2002
